titulo,artista,album,duracion,popularidad
Don't Stop Believin' (2023 Remaster),Ed Sheeran,Night Visions (2019),217,9
Someone Like You (2022 Remaster),Imagine Dragons,Abbey Road (2016),265,1
Don't Stop Believin' (2023 Remaster),Ed Sheeran,X&Y (2024),266,19
Believer (2022 Remaster),P!nk,Divide (2020),203,8
Believer (2018 Remaster),Jason Mraz,The Truth About Love (2022),217,18
Someone Like You (2020 Remaster),The Beatles,Night Visions (2024),243,15
Believer (2022 Remaster),Imagine Dragons,The Truth About Love (2023),189,16
I'm Yours (2021 Remaster),Adele,Divide (2020),218,15
Believer (2024 Remaster),Nickelback,Night Visions (2019),274,10
Don't Stop Believin' (2022 Remaster),Ed Sheeran,Night Visions (2017),282,5
Someone Like You (2023 Remaster),Imagine Dragons,The Truth About Love (2016),223,11
Just Give Me a Reason (2018 Remaster),Jason Mraz,All the Right Reasons (2018),193,5
Don't Stop Believin' (2021 Remaster),Queen,Greatest Hits (2018),286,7
Shape of You (2024 Remaster),P!nk,Abbey Road (2015),216,11
Someone Like You (2023 Remaster),Journey,Greatest Hits (2018),279,1
Hey Jude (2023 Remaster),Adele,Night Visions (2022),276,12
Shape of You (2019 Remaster),Ed Sheeran,Abbey Road (2024),247,4
I'm Yours (2023 Remaster),Adele,The Truth About Love (2024),186,10
Bohemian Rhapsody (2019 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2022),227,2
Shape of You (2018 Remaster),Nickelback,21 (2020),294,7
Believer (2022 Remaster),Adele,Greatest Hits (2023),241,7
Fix You (2023 Remaster),Nickelback,X&Y (2019),183,11
Hey Jude (2021 Remaster),Adele,Divide (2024),263,11
Shape of You (2021 Remaster),Queen,Greatest Hits (2015),299,19
Hey Jude (2019 Remaster),P!nk,Night Visions (2015),238,9
Shape of You (2024 Remaster),P!nk,Greatest Hits (2023),196,4
Rockstar (2020 Remaster),P!nk,Night Visions (2023),293,9
Someone Like You (2024 Remaster),Imagine Dragons,A Night at the Opera (2023),295,18
Bohemian Rhapsody (2022 Remaster),Adele,Greatest Hits (2020),256,19
Hey Jude (2023 Remaster),Journey,All the Right Reasons (2017),249,3
Rockstar (2023 Remaster),Adele,Divide (2024),218,3
Fix You (2021 Remaster),Coldplay,X&Y (2022),287,16
Believer (2024 Remaster),Jason Mraz,All the Right Reasons (2017),254,4
Fix You (2019 Remaster),Queen,The Truth About Love (2017),199,1
Hey Jude (2020 Remaster),Adele,21 (2023),219,20
I'm Yours (2019 Remaster),Journey,All the Right Reasons (2019),208,20
Shape of You (2021 Remaster),Ed Sheeran,The Truth About Love (2019),281,8
Fix You (2019 Remaster),Nickelback,All the Right Reasons (2019),283,12
Rockstar (2024 Remaster),Jason Mraz,Divide (2019),273,17
Someone Like You (2022 Remaster),Imagine Dragons,We Sing. We Dance. We Steal Things (2017),194,16
Shape of You (2022 Remaster),Nickelback,21 (2018),230,11
Someone Like You (2021 Remaster),Queen,We Sing. We Dance. We Steal Things (2018),273,7
Just Give Me a Reason (2023 Remaster),Jason Mraz,The Truth About Love (2024),216,18
Bohemian Rhapsody (2022 Remaster),Nickelback,We Sing. We Dance. We Steal Things (2019),219,16
Just Give Me a Reason (2021 Remaster),Nickelback,Greatest Hits (2018),270,14
Shape of You (2018 Remaster),Jason Mraz,X&Y (2023),197,5
I'm Yours (2021 Remaster),Queen,21 (2019),224,1
Shape of You (2022 Remaster),Ed Sheeran,Abbey Road (2019),295,14
I'm Yours (2021 Remaster),Jason Mraz,We Sing. We Dance. We Steal Things (2024),300,8
Hey Jude (2018 Remaster),P!nk,We Sing. We Dance. We Steal Things (2024),234,12
Rockstar (2022 Remaster),Jason Mraz,Night Visions (2020),284,17
Don't Stop Believin' (2024 Remaster),Adele,Greatest Hits (2017),233,1
Believer (2019 Remaster),Jason Mraz,21 (2015),190,11
Don't Stop Believin' (2022 Remaster),Ed Sheeran,Divide (2015),290,14
Rockstar (2023 Remaster),Jason Mraz,Night Visions (2017),271,7
Shape of You (2024 Remaster),Ed Sheeran,21 (2018),212,11
Shape of You (2020 Remaster),Jason Mraz,Abbey Road (2021),193,8
Hey Jude (2019 Remaster),Imagine Dragons,We Sing. We Dance. We Steal Things (2016),232,8
Rockstar (2022 Remaster),Adele,Divide (2020),259,14
Hey Jude (2021 Remaster),Queen,The Truth About Love (2021),222,19
Bohemian Rhapsody (2023 Remaster),Journey,Night Visions (2020),259,11
Bohemian Rhapsody (2023 Remaster),Imagine Dragons,X&Y (2016),253,20
Fix You (2021 Remaster),Coldplay,We Sing. We Dance. We Steal Things (2021),244,9
Someone Like You (2022 Remaster),Imagine Dragons,The Truth About Love (2023),203,20
Bohemian Rhapsody (2020 Remaster),Coldplay,A Night at the Opera (2024),247,13
Fix You (2018 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2019),235,6
Just Give Me a Reason (2020 Remaster),Imagine Dragons,Night Visions (2024),235,17
Bohemian Rhapsody (2020 Remaster),Nickelback,Night Visions (2016),184,19
Hey Jude (2022 Remaster),The Beatles,All the Right Reasons (2023),288,11
Fix You (2019 Remaster),Adele,Divide (2016),280,2
Bohemian Rhapsody (2018 Remaster),Journey,The Truth About Love (2020),226,9
Don't Stop Believin' (2022 Remaster),The Beatles,The Truth About Love (2017),261,6
Believer (2020 Remaster),Queen,Divide (2020),261,6
Don't Stop Believin' (2021 Remaster),Nickelback,All the Right Reasons (2024),182,3
Don't Stop Believin' (2023 Remaster),Imagine Dragons,A Night at the Opera (2018),297,15
Hey Jude (2022 Remaster),Nickelback,Divide (2021),184,7
Someone Like You (2020 Remaster),Coldplay,The Truth About Love (2019),211,8
Bohemian Rhapsody (2021 Remaster),Adele,Greatest Hits (2019),281,13
Hey Jude (2023 Remaster),Journey,X&Y (2024),193,11
Fix You (2018 Remaster),P!nk,Night Visions (2023),226,17
Just Give Me a Reason (2022 Remaster),P!nk,We Sing. We Dance. We Steal Things (2023),187,2
Hey Jude (2020 Remaster),The Beatles,All the Right Reasons (2016),270,7
Shape of You (2024 Remaster),Jason Mraz,X&Y (2018),180,3
Bohemian Rhapsody (2019 Remaster),Journey,Greatest Hits (2024),249,16
Someone Like You (2021 Remaster),Ed Sheeran,All the Right Reasons (2015),219,14
Someone Like You (2019 Remaster),P!nk,Night Visions (2018),265,18
Someone Like You (2021 Remaster),Coldplay,21 (2022),276,19
Shape of You (2024 Remaster),P!nk,All the Right Reasons (2019),288,10
I'm Yours (2023 Remaster),The Beatles,All the Right Reasons (2024),300,19
Just Give Me a Reason (2020 Remaster),Adele,Night Visions (2018),242,13
Don't Stop Believin' (2024 Remaster),Queen,21 (2024),193,12
Shape of You (2018 Remaster),Adele,Night Visions (2024),235,6
Hey Jude (2020 Remaster),Ed Sheeran,We Sing. We Dance. We Steal Things (2017),248,16
Don't Stop Believin' (2019 Remaster),Journey,X&Y (2022),249,14
Don't Stop Believin' (2020 Remaster),Imagine Dragons,All the Right Reasons (2017),214,14
I'm Yours (2019 Remaster),Journey,Night Visions (2020),224,3
Fix You (2019 Remaster),P!nk,Greatest Hits (2020),203,11
Fix You (2019 Remaster),Ed Sheeran,X&Y (2015),194,20
Bohemian Rhapsody (2019 Remaster),P!nk,X&Y (2019),215,3
Don't Stop Believin' (2019 Remaster),The Beatles,We Sing. We Dance. We Steal Things (2017),188,2
Believer (2024 Remaster),Coldplay,We Sing. We Dance. We Steal Things (2021),238,2
I'm Yours (2023 Remaster),Ed Sheeran,We Sing. We Dance. We Steal Things (2024),260,1
Just Give Me a Reason (2021 Remaster),The Beatles,Night Visions (2021),287,12
Believer (2024 Remaster),Adele,The Truth About Love (2024),199,4
Don't Stop Believin' (2020 Remaster),Adele,All the Right Reasons (2015),250,5
Shape of You (2022 Remaster),P!nk,Night Visions (2015),266,12
Believer (2021 Remaster),Ed Sheeran,We Sing. We Dance. We Steal Things (2024),196,11
Just Give Me a Reason (2020 Remaster),Adele,Divide (2017),235,17
Shape of You (2018 Remaster),Adele,All the Right Reasons (2018),274,11
