titulo,artista,album,duracion,popularidad
Superpower (feat. Frank Ocean),Beyoncé,BEYONCÉ,276,14
It's Not Over,Daughtry,Daughtry,215,13
Voice of Truth,Casting Crowns,Casting Crowns,323,10
You & I,One Direction,Midnight Memories (Deluxe Edition),237,18
Heaven,Beyoncé,BEYONCÉ,230,14
See You Again,Carrie Underwood,Blown Away,247,14
Dirty Diana,Michael Jackson,The Essential Michael Jackson,282,17
Blow,Beyoncé,BEYONCÉ,309,14
Jealous,Beyoncé,BEYONCÉ,184,14
Love Like Woe,The Ready Set,"I'm Alive, I'm Dreaming (Deluxe Version)",200,11
Damaged,Danity Kane,Welcome to the Dollhouse,239,16
Barefoot Blue Jean Night,Jake Owen,Barefoot Blue Jean Night,169,11
Rocket,Beyoncé,BEYONCÉ,391,14
I Want to Know What Love Is,Foreigner,No End In Sight: The Very Best of Foreigner (Remastered),301,32
Blue (feat. Blue Ivy),Beyoncé,BEYONCÉ,266,14
Picture (feat. Sheryl Crow),Kid Rock,Cocky,298,14
Haunted,Beyoncé,BEYONCÉ,369,14
Half of My Heart,John Mayer,Battle Studies (Deluxe Version),250,12
Afterlife,Avenged Sevenfold,Avenged Sevenfold (Bonus Track Version),352,11
Gypsy,Fleetwood Mac,Greatest Hits,264,16
A Country Boy Can Survive,"Hank Williams, Jr.","Hank Williams, Jr.'s Greatest Hits, Vol. 1",255,10
Sound of Madness,Shinedown,The Sound of Madness (Bonus Track Version),233,14
A Horse With No Name,America,America's Greatest Hits: History,252,12
Animals,Nickelback,All the Right Reasons,186,11
Just a Dream,Carrie Underwood,Carnival Ride,287,13
Hotel California,Eagles,Hotel California,391,9
Little Things,One Direction,Take Me Home (Yearbook Edition),219,17
Beam Me Up,P!nk,The Truth About Love,267,15
Brokenhearted,Karmin,Hello,227,8
Only God Knows Why,Kid Rock,Devil Without a Cause,327,14
Something In Your Mouth,Nickelback,Dark Horse,219,11
Please Don't Go,Mike Posner,31 Minutes to Takeoff,196,12
Titanium (feat. Sia),David Guetta,Nothing But the Beat,245,14
We Didn't Start the Fire,Billy Joel,The Essential Billy Joel,291,18
Jumper,Third Eye Blind,A Collection (Remastered),273,21
I Hate Myself for Loving You,Joan Jett & The Blackhearts,Up Your Alley,246,11
Bad,Michael Jackson,The Essential Michael Jackson,246,17
In the End,LINKIN PARK,Hybrid Theory,216,12
Last Name,Carrie Underwood,Carnival Ride,242,13
Young Girls,Bruno Mars,Unorthodox Jukebox,229,10
Two Black Cadillacs,Carrie Underwood,Blown Away,298,14
Hells Bells,AC/DC,Back In Black,312,10
Who's Crying Now,Journey,Greatest Hits (2024 Remaster),301,16
Human,Christina Perri,Head or Heart,250,12
Ask the Lonely (2024 Remaster),Journey,Greatest Hits (2024 Remaster),234,16
Untouched,The Veronicas,Hook Me Up,255,13
Fly,Sugar Ray & Super Cat,The Best of Sugar Ray,292,15
Be Good to Yourself (2024 Remaster),Journey,Greatest Hits (2024 Remaster),232,16
Feels Like the First Time,Foreigner,No End In Sight: The Very Best of Foreigner (Remastered),232,32
You and Tequila (feat. Grace Potter),Kenny Chesney,Hemingway's Whiskey (Deluxe Edition),242,13
Girl Can't Help It (2024 Remaster),Journey,Greatest Hits (2024 Remaster),231,16
Tongue Tied,GROUPLOVE,Tongue Tied - Single,218,1
